text,clean_text,Extracted_entities
"@RepValDemings @maddogpac Its. By. Design.
They aren't even hiding it anymore",RepValDemings maddogpac Its By Design They aren t even hiding it anymore,
RT @RepValDemings: The president’s plan to hold mass rallies in Florida and elsewhere as we experience a resurgence in COVID cases is irres…,RT RepValDemings The president s plan to hold mass rally in Florida and elsewhere a we experience a resurgence in COVID case is irres,"('RT RepValDemings', 'ORG')"
RT @RepValDemings: Tulsa was the site of the worst racist violence in American history. The president’s speech there on Juneteenth is a mes…,RT RepValDemings Tulsa wa the site of the worst racist violence in American history The president s speech there on Juneteenth is a me,"('RT RepValDemings', 'ORG')"
@RepValDemings Based on what...?,RepValDemings Based on what,"('RepValDemings Based', 'PERSON')"
@RepValDemings You are a moron .. so it’s alright to have protest and gatherings because to dumb ass people feeling… https://t.co/ftIwn1TJh8,RepValDemings You are a moron so it s alright to have protest and gathering because to dumb as people feeling http t co ftIwn TJh,
@RepValDemings Not does @GovRonDeSantis care.  #racistron only cares about you if you donate to his campaign or if… https://t.co/i7SKFAcUmR,RepValDemings Not doe GovRonDeSantis care racistron only care about you if you donate to his campaign or if http t co i SKFAcUmR,
"RT @OrlandoPolice: ARRESTED: @OrlandoPolice  arrested today Marcus Deion Brown, 36 years of age. Brown is the suspect from the fatal crash…",RT OrlandoPolice ARRESTED OrlandoPolice arrested today Marcus Deion Brown year of age Brown is the suspect from the fatal crash,"('RT OrlandoPolice ARRESTED', 'ORG')"
@RepValDemings U should be cheering! Deplorable and the President killing themselves with COVID. Guess ur concerned… https://t.co/zRNypjSBw2,RepValDemings U should be cheering Deplorable and the President killing themselves with COVID Guess ur concerned http t co zRNypjSBw,"('zRNypjSBw', 'CARDINAL')"
@RepValDemings We are just hosting protests.,RepValDemings We are just hosting protest,
"RT @RepValDemings: Unfortunately, Florida is experiencing a new surge in COVID-19 cases. I urge you to do everything you can to protect you…",RT RepValDemings Unfortunately Florida is experiencing a new surge in COVID case I urge you to do everything you can to protect you,"('RT RepValDemings', 'ORG')"
"@RepValDemings Dead people cant vote. At least they shouldnt be able to. However, with Trump in charge...who knows?
.",RepValDemings Dead people cant vote At least they shouldnt be able to However with Trump in charge who know,
RT @RepValDemings: The president and the attorney general have a direct responsibility to intervene and put the full weight of the White Ho…,RT RepValDemings The president and the attorney general have a direct responsibility to intervene and put the full weight of the White Ho,"('RT RepValDemings', 'ORG')"
@RepValDemings You don’t decide our future.  We do.,RepValDemings You don t decide our future We do,
@RepValDemings This is the look of pure Evil https://t.co/xGCNwR5Uoa,RepValDemings This is the look of pure Evil http t co xGCNwR Uoa,"('Evil', 'PERSON')"
RT @RepValDemings: Today would be a good day for the president to announce a comprehensive national testing plan. https://t.co/YA80uQ5Qbm,RT RepValDemings Today would be a good day for the president to announce a comprehensive national testing plan http t co YA uQ Qbm,"('RT RepValDemings', 'ORG')"
@RepValDemings Tell this crap to the bums in Seattle.,RepValDemings Tell this crap to the bum in Seattle,"('Seattle', 'GPE')"
"RT @RepValDemings: “Unfortunately, we know that foreign actors have historically sought to exploit tensions in American communities…

""we d…",RT RepValDemings Unfortunately we know that foreign actor have historically sought to exploit tension in American community we d,"('RT RepValDemings', 'ORG')"
@RepValDemings Are you serious???? OMG!!!,RepValDemings Are you serious OMG,
RT @RepValDemings: Today would be a good day for the president to announce a comprehensive national testing plan.,RT RepValDemings Today would be a good day for the president to announce a comprehensive national testing plan,"('RT RepValDemings', 'ORG')"
@RepValDemings Riots are safer?  You idiot,RepValDemings Riots are safer You idiot,"('RepValDemings Riots', 'ORG')"
@RepValDemings You're just mad that nobody will be looting or burning buildings after the rally.,RepValDemings You re just mad that nobody will be looting or burning building after the rally,
@RepValDemings Are you being serious with me right now?,RepValDemings Are you being serious with me right now,
@RepValDemings Just change the name. We're going to a Trump Riot. All good now? Where was Fauci during the riots BT… https://t.co/FC2UzBfOo0,RepValDemings Just change the name We re going to a Trump Riot All good now Where wa Fauci during the riot BT http t co FC UzBfOo,"('Fauci', 'PERSON')"
"@RepValDemings He is inciting violence.  Hopefully, protesters will be peaceful and shame him and his supporters (t… https://t.co/iJKDQYFshv",RepValDemings He is inciting violence Hopefully protester will be peaceful and shame him and his supporter t http t co iJKDQYFshv,
@RepValDemings Murders should be illegal. Armed robbery should be illegal. Sales of illegal narcotics should be ill… https://t.co/7mHsWGFEaa,RepValDemings Murders should be illegal Armed robbery should be illegal Sales of illegal narcotic should be ill http t co mHsWGFEaa,"('mHsWGFEaa', 'DATE')"
"RT @RepValDemings: In 1966 Dr. King said that “of all the forms of inequality, injustice in health is the most shocking and the most inhuma…",RT RepValDemings In Dr King said that of all the form of inequality injustice in health is the most shocking and the most inhuma,"('RT RepValDemings', 'ORG')"
